lbr_σ,rbr_σ,th_α,nIntervals,Power,TypeI
-5.0,4.0,-3.0,4,1.0,1.0
-4.0,4.0,-3.0,4,1.0,1.0
-3.0,4.0,-3.0,4,1.0,1.0
-2.0,4.0,-3.0,4,1.0,0.983
-1.0,4.0,-3.0,4,0.98,0.217
-5.0,5.0,-3.0,4,1.0,1.0
-4.0,5.0,-3.0,4,1.0,1.0
-3.0,5.0,-3.0,4,1.0,1.0
-2.0,5.0,-3.0,4,1.0,0.9575
-1.0,5.0,-3.0,4,0.9655,0.1515
-5.0,6.0,-3.0,4,1.0,1.0
-4.0,6.0,-3.0,4,1.0,1.0
-3.0,6.0,-3.0,4,1.0,1.0
-2.0,6.0,-3.0,4,1.0,0.9195
-1.0,6.0,-3.0,4,0.9225,0.09
-5.0,7.0,-3.0,4,1.0,1.0
-4.0,7.0,-3.0,4,1.0,1.0
-3.0,7.0,-3.0,4,1.0,0.9995
-2.0,7.0,-3.0,4,1.0,0.865
-1.0,7.0,-3.0,4,0.8605,0.0675
-5.0,8.0,-3.0,4,1.0,1.0
-4.0,8.0,-3.0,4,1.0,1.0
-3.0,8.0,-3.0,4,1.0,1.0
-2.0,8.0,-3.0,4,0.9995,0.8005
-1.0,8.0,-3.0,4,0.794,0.0665
-5.0,4.0,-2.0,4,1.0,1.0
-4.0,4.0,-2.0,4,1.0,1.0
-3.0,4.0,-2.0,4,1.0,1.0
-2.0,4.0,-2.0,4,1.0,0.9465
-1.0,4.0,-2.0,4,0.947,0.0885
-5.0,5.0,-2.0,4,1.0,1.0
-4.0,5.0,-2.0,4,1.0,1.0
-3.0,5.0,-2.0,4,1.0,0.9995
-2.0,5.0,-2.0,4,0.999,0.867
-1.0,5.0,-2.0,4,0.861,0.054
-5.0,6.0,-2.0,4,1.0,1.0
-4.0,6.0,-2.0,4,1.0,1.0
-3.0,6.0,-2.0,4,1.0,0.9985
-2.0,6.0,-2.0,4,0.999,0.737
-1.0,6.0,-2.0,4,0.7225,0.0665
-5.0,7.0,-2.0,4,1.0,1.0
-4.0,7.0,-2.0,4,1.0,1.0
-3.0,7.0,-2.0,4,1.0,0.996
-2.0,7.0,-2.0,4,0.994,0.592
-1.0,7.0,-2.0,4,0.595,0.0985
-5.0,8.0,-2.0,4,1.0,1.0
-4.0,8.0,-2.0,4,1.0,1.0
-3.0,8.0,-2.0,4,1.0,0.976
-2.0,8.0,-2.0,4,0.9825,0.4475
-1.0,8.0,-2.0,4,0.4385,0.1505
-5.0,4.0,-1.0,4,1.0,1.0
-4.0,4.0,-1.0,4,1.0,1.0
-3.0,4.0,-1.0,4,1.0,0.9995
-2.0,4.0,-1.0,4,1.0,0.7095
-1.0,4.0,-1.0,4,0.7125,0.0995
-5.0,5.0,-1.0,4,1.0,1.0
-4.0,5.0,-1.0,4,1.0,1.0
-3.0,5.0,-1.0,4,1.0,0.9905
-2.0,5.0,-1.0,4,0.9895,0.3985
-1.0,5.0,-1.0,4,0.386,0.292
-5.0,6.0,-1.0,4,1.0,1.0
-4.0,6.0,-1.0,4,1.0,1.0
-3.0,6.0,-1.0,4,1.0,0.9355
-2.0,6.0,-1.0,4,0.9355,0.163
-1.0,6.0,-1.0,4,0.166,0.503
-5.0,7.0,-1.0,4,1.0,1.0
-4.0,7.0,-1.0,4,1.0,0.9965
-3.0,7.0,-1.0,4,0.9995,0.7605
-2.0,7.0,-1.0,4,0.7565,0.0645
-1.0,7.0,-1.0,4,0.06,0.7235
-5.0,8.0,-1.0,4,1.0,1.0
-4.0,8.0,-1.0,4,1.0,0.977
-3.0,8.0,-1.0,4,0.9795,0.491
-2.0,8.0,-1.0,4,0.508,0.0625
-1.0,8.0,-1.0,4,0.061,0.8495
-5.0,4.0,0.0,4,1.0,1.0
-4.0,4.0,0.0,4,1.0,1.0
-3.0,4.0,0.0,4,1.0,0.9095
-2.0,4.0,0.0,4,0.918,0.057
-1.0,4.0,0.0,4,0.05,0.91
-5.0,5.0,0.0,4,1.0,1.0
-4.0,5.0,0.0,4,1.0,0.992
-3.0,5.0,0.0,4,0.995,0.322
-2.0,5.0,0.0,4,0.3305,0.3055
-1.0,5.0,0.0,4,0.312,0.9945
-5.0,6.0,0.0,4,1.0,1.0
-4.0,6.0,0.0,4,1.0,0.789
-3.0,6.0,0.0,4,0.7815,0.0515
-2.0,6.0,0.0,4,0.048,0.7785
-1.0,6.0,0.0,4,0.783,1.0
-5.0,7.0,0.0,4,1.0,0.9655
-4.0,7.0,0.0,4,0.972,0.2445
-3.0,7.0,0.0,4,0.2535,0.24
-2.0,7.0,0.0,4,0.2555,0.962
-1.0,7.0,0.0,4,0.971,1.0
-5.0,8.0,0.0,4,0.9965,0.621
-4.0,8.0,0.0,4,0.6515,0.052
-3.0,8.0,0.0,4,0.0455,0.643
-2.0,8.0,0.0,4,0.6325,0.9965
-1.0,8.0,0.0,4,0.9995,1.0
-5.0,4.0,1.0,4,1.0,1.0
-4.0,4.0,1.0,4,1.0,0.983
-3.0,4.0,1.0,4,0.9775,0.1015
-2.0,4.0,1.0,4,0.107,0.71
-1.0,4.0,1.0,4,0.7155,1.0
-5.0,5.0,1.0,4,1.0,0.9945
-4.0,5.0,1.0,4,0.996,0.287
-3.0,5.0,1.0,4,0.284,0.4165
-2.0,5.0,1.0,4,0.4085,0.995
-1.0,5.0,1.0,4,0.9965,1.0
-5.0,6.0,1.0,4,0.9995,0.5325
-4.0,6.0,1.0,4,0.5155,0.1615
-3.0,6.0,1.0,4,0.1495,0.9405
-2.0,6.0,1.0,4,0.938,1.0
-1.0,6.0,1.0,4,1.0,1.0
-5.0,7.0,1.0,4,0.7065,0.0585
-4.0,7.0,1.0,4,0.05,0.7625
-3.0,7.0,1.0,4,0.7695,0.998
-2.0,7.0,1.0,4,0.997,1.0
-1.0,7.0,1.0,4,1.0,1.0
-5.0,8.0,1.0,4,0.054,0.5255
-4.0,8.0,1.0,4,0.5035,0.979
-3.0,8.0,1.0,4,0.9765,1.0
-2.0,8.0,1.0,4,1.0,1.0
-1.0,8.0,1.0,4,1.0,1.0
-5.0,4.0,2.0,4,1.0,1.0
-4.0,4.0,2.0,4,1.0,0.829
-3.0,4.0,2.0,4,0.84,0.0865
-2.0,4.0,2.0,4,0.085,0.9425
-1.0,4.0,2.0,4,0.9475,1.0
-5.0,5.0,2.0,4,1.0,0.9115
-4.0,5.0,2.0,4,0.9125,0.056
-3.0,5.0,2.0,4,0.053,0.866
-2.0,5.0,2.0,4,0.8665,0.9995
-1.0,5.0,2.0,4,1.0,1.0
-5.0,6.0,2.0,4,0.955,0.0625
-4.0,6.0,2.0,4,0.0575,0.721
-3.0,6.0,2.0,4,0.7395,0.999
-2.0,6.0,2.0,4,0.9995,1.0
-1.0,6.0,2.0,4,1.0,1.0
-5.0,7.0,2.0,4,0.0985,0.584
-4.0,7.0,2.0,4,0.5855,0.9945
-3.0,7.0,2.0,4,0.995,1.0
-2.0,7.0,2.0,4,1.0,1.0
-1.0,7.0,2.0,4,1.0,1.0
-5.0,8.0,2.0,4,0.452,0.9855
-4.0,8.0,2.0,4,0.9825,1.0
-3.0,8.0,2.0,4,1.0,1.0
-2.0,8.0,2.0,4,1.0,1.0
-1.0,8.0,2.0,4,1.0,1.0
-5.0,4.0,3.0,4,1.0,1.0
-4.0,4.0,3.0,4,1.0,0.626
-3.0,4.0,3.0,4,0.634,0.212
-2.0,4.0,3.0,4,0.2175,0.975
-1.0,4.0,3.0,4,0.9835,1.0
-5.0,5.0,3.0,4,1.0,0.7425
-4.0,5.0,3.0,4,0.731,0.1305
-3.0,5.0,3.0,4,0.147,0.9675
-2.0,5.0,3.0,4,0.9635,1.0
-1.0,5.0,3.0,4,1.0,1.0
-5.0,6.0,3.0,4,0.809,0.0875
-4.0,6.0,3.0,4,0.091,0.925
-3.0,6.0,3.0,4,0.93,1.0
-2.0,6.0,3.0,4,1.0,1.0
-1.0,6.0,3.0,4,1.0,1.0
-5.0,7.0,3.0,4,0.0725,0.8705
-4.0,7.0,3.0,4,0.8695,0.9995
-3.0,7.0,3.0,4,1.0,1.0
-2.0,7.0,3.0,4,1.0,1.0
-1.0,7.0,3.0,4,1.0,1.0
-5.0,8.0,3.0,4,0.8075,0.999
-4.0,8.0,3.0,4,0.9995,1.0
-3.0,8.0,3.0,4,1.0,1.0
-2.0,8.0,3.0,4,1.0,1.0
-1.0,8.0,3.0,4,1.0,1.0
-5.0,4.0,-3.0,5,1.0,1.0
-4.0,4.0,-3.0,5,1.0,1.0
-3.0,4.0,-3.0,5,1.0,1.0
-2.0,4.0,-3.0,5,1.0,0.9835
-1.0,4.0,-3.0,5,0.986,0.237
-5.0,5.0,-3.0,5,1.0,1.0
-4.0,5.0,-3.0,5,1.0,1.0
-3.0,5.0,-3.0,5,1.0,1.0
-2.0,5.0,-3.0,5,1.0,0.9635
-1.0,5.0,-3.0,5,0.969,0.137
-5.0,6.0,-3.0,5,1.0,1.0
-4.0,6.0,-3.0,5,1.0,1.0
-3.0,6.0,-3.0,5,1.0,1.0
-2.0,6.0,-3.0,5,1.0,0.927
-1.0,6.0,-3.0,5,0.937,0.1025
-5.0,7.0,-3.0,5,1.0,1.0
-4.0,7.0,-3.0,5,1.0,1.0
-3.0,7.0,-3.0,5,1.0,1.0
-2.0,7.0,-3.0,5,0.9995,0.878
-1.0,7.0,-3.0,5,0.8785,0.079
-5.0,8.0,-3.0,5,1.0,1.0
-4.0,8.0,-3.0,5,1.0,1.0
-3.0,8.0,-3.0,5,1.0,1.0
-2.0,8.0,-3.0,5,0.997,0.8045
-1.0,8.0,-3.0,5,0.846,0.0585
-5.0,4.0,-2.0,5,1.0,1.0
-4.0,4.0,-2.0,5,1.0,1.0
-3.0,4.0,-2.0,5,1.0,1.0
-2.0,4.0,-2.0,5,1.0,0.9545
-1.0,4.0,-2.0,5,0.955,0.106
-5.0,5.0,-2.0,5,1.0,1.0
-4.0,5.0,-2.0,5,1.0,1.0
-3.0,5.0,-2.0,5,1.0,0.9995
-2.0,5.0,-2.0,5,1.0,0.874
-1.0,5.0,-2.0,5,0.874,0.055
-5.0,6.0,-2.0,5,1.0,1.0
-4.0,6.0,-2.0,5,1.0,1.0
-3.0,6.0,-2.0,5,1.0,1.0
-2.0,6.0,-2.0,5,0.9995,0.761
-1.0,6.0,-2.0,5,0.7485,0.0645
-5.0,7.0,-2.0,5,1.0,1.0
-4.0,7.0,-2.0,5,1.0,1.0
-3.0,7.0,-2.0,5,1.0,0.996
-2.0,7.0,-2.0,5,0.9945,0.6045
-1.0,7.0,-2.0,5,0.6195,0.0875
-5.0,8.0,-2.0,5,1.0,1.0
-4.0,8.0,-2.0,5,1.0,1.0
-3.0,8.0,-2.0,5,1.0,0.987
-2.0,8.0,-2.0,5,0.984,0.452
-1.0,8.0,-2.0,5,0.4765,0.158
-5.0,4.0,-1.0,5,1.0,1.0
-4.0,4.0,-1.0,5,1.0,1.0
-3.0,4.0,-1.0,5,1.0,0.9995
-2.0,4.0,-1.0,5,1.0,0.724
-1.0,4.0,-1.0,5,0.724,0.114
-5.0,5.0,-1.0,5,1.0,1.0
-4.0,5.0,-1.0,5,1.0,1.0
-3.0,5.0,-1.0,5,1.0,0.9925
-2.0,5.0,-1.0,5,0.994,0.4035
-1.0,5.0,-1.0,5,0.397,0.2915
-5.0,6.0,-1.0,5,1.0,1.0
-4.0,6.0,-1.0,5,1.0,1.0
-3.0,6.0,-1.0,5,1.0,0.9365
-2.0,6.0,-1.0,5,0.9515,0.1445
-1.0,6.0,-1.0,5,0.16,0.5055
-5.0,7.0,-1.0,5,1.0,1.0
-4.0,7.0,-1.0,5,1.0,0.9985
-3.0,7.0,-1.0,5,0.9985,0.795
-2.0,7.0,-1.0,5,0.774,0.059
-1.0,7.0,-1.0,5,0.0555,0.71
-5.0,8.0,-1.0,5,1.0,1.0
-4.0,8.0,-1.0,5,1.0,0.9895
-3.0,8.0,-1.0,5,0.9845,0.5225
-2.0,8.0,-1.0,5,0.511,0.0545
-1.0,8.0,-1.0,5,0.062,0.849
-5.0,4.0,0.0,5,1.0,1.0
-4.0,4.0,0.0,5,1.0,1.0
-3.0,4.0,0.0,5,1.0,0.9235
-2.0,4.0,0.0,5,0.923,0.0485
-1.0,4.0,0.0,5,0.0485,0.9095
-5.0,5.0,0.0,5,1.0,1.0
-4.0,5.0,0.0,5,1.0,0.996
-3.0,5.0,0.0,5,0.996,0.3285
-2.0,5.0,0.0,5,0.343,0.3345
-1.0,5.0,0.0,5,0.3525,0.995
-5.0,6.0,0.0,5,1.0,0.9995
-4.0,6.0,0.0,5,1.0,0.8145
-3.0,6.0,0.0,5,0.795,0.05
-2.0,6.0,0.0,5,0.054,0.7935
-1.0,6.0,0.0,5,0.771,1.0
-5.0,7.0,0.0,5,1.0,0.9625
-4.0,7.0,0.0,5,0.9805,0.2495
-3.0,7.0,0.0,5,0.257,0.253
-2.0,7.0,0.0,5,0.2525,0.9675
-1.0,7.0,0.0,5,0.975,1.0
-5.0,8.0,0.0,5,0.9985,0.66
-4.0,8.0,0.0,5,0.653,0.0515
-3.0,8.0,0.0,5,0.055,0.65
-2.0,8.0,0.0,5,0.6385,0.996
-1.0,8.0,0.0,5,0.995,1.0
-5.0,4.0,1.0,5,1.0,1.0
-4.0,4.0,1.0,5,1.0,0.9815
-3.0,4.0,1.0,5,0.9845,0.1105
-2.0,4.0,1.0,5,0.1125,0.7395
-1.0,4.0,1.0,5,0.7265,1.0
-5.0,5.0,1.0,5,1.0,0.9955
-4.0,5.0,1.0,5,0.9965,0.2735
-3.0,5.0,1.0,5,0.2735,0.3825
-2.0,5.0,1.0,5,0.415,0.994
-1.0,5.0,1.0,5,0.9945,1.0
-5.0,6.0,1.0,5,0.9995,0.516
-4.0,6.0,1.0,5,0.5095,0.1725
-3.0,6.0,1.0,5,0.172,0.947
-2.0,6.0,1.0,5,0.9385,1.0
-1.0,6.0,1.0,5,1.0,1.0
-5.0,7.0,1.0,5,0.7105,0.0625
-4.0,7.0,1.0,5,0.0565,0.7975
-3.0,7.0,1.0,5,0.7885,0.999
-2.0,7.0,1.0,5,0.998,1.0
-1.0,7.0,1.0,5,1.0,1.0
-5.0,8.0,1.0,5,0.058,0.529
-4.0,8.0,1.0,5,0.5185,0.986
-3.0,8.0,1.0,5,0.9855,1.0
-2.0,8.0,1.0,5,1.0,1.0
-1.0,8.0,1.0,5,1.0,1.0
-5.0,4.0,2.0,5,1.0,1.0
-4.0,4.0,2.0,5,1.0,0.836
-3.0,4.0,2.0,5,0.8365,0.0955
-2.0,4.0,2.0,5,0.0855,0.9605
-1.0,4.0,2.0,5,0.9415,1.0
-5.0,5.0,2.0,5,1.0,0.917
-4.0,5.0,2.0,5,0.91,0.053
-3.0,5.0,2.0,5,0.0575,0.8715
-2.0,5.0,2.0,5,0.866,0.9995
-1.0,5.0,2.0,5,1.0,1.0
-5.0,6.0,2.0,5,0.949,0.061
-4.0,6.0,2.0,5,0.0645,0.75
-3.0,6.0,2.0,5,0.748,1.0
-2.0,6.0,2.0,5,1.0,1.0
-1.0,6.0,2.0,5,1.0,1.0
-5.0,7.0,2.0,5,0.0945,0.6205
-4.0,7.0,2.0,5,0.61,0.995
-3.0,7.0,2.0,5,0.9975,1.0
-2.0,7.0,2.0,5,1.0,1.0
-1.0,7.0,2.0,5,1.0,1.0
-5.0,8.0,2.0,5,0.461,0.9855
-4.0,8.0,2.0,5,0.986,1.0
-3.0,8.0,2.0,5,1.0,1.0
-2.0,8.0,2.0,5,1.0,1.0
-1.0,8.0,2.0,5,1.0,1.0
-5.0,4.0,3.0,5,1.0,1.0
-4.0,4.0,3.0,5,1.0,0.6255
-3.0,4.0,3.0,5,0.6285,0.2295
-2.0,4.0,3.0,5,0.219,0.986
-1.0,4.0,3.0,5,0.982,1.0
-5.0,5.0,3.0,5,0.9995,0.708
-4.0,5.0,3.0,5,0.728,0.1425
-3.0,5.0,3.0,5,0.164,0.9695
-2.0,5.0,3.0,5,0.9675,1.0
-1.0,5.0,3.0,5,1.0,1.0
-5.0,6.0,3.0,5,0.8045,0.089
-4.0,6.0,3.0,5,0.099,0.9325
-3.0,6.0,3.0,5,0.923,1.0
-2.0,6.0,3.0,5,1.0,1.0
-1.0,6.0,3.0,5,1.0,1.0
-5.0,7.0,3.0,5,0.0675,0.8835
-4.0,7.0,3.0,5,0.8815,1.0
-3.0,7.0,3.0,5,1.0,1.0
-2.0,7.0,3.0,5,1.0,1.0
-1.0,7.0,3.0,5,1.0,1.0
-5.0,8.0,3.0,5,0.848,0.9985
-4.0,8.0,3.0,5,0.9985,1.0
-3.0,8.0,3.0,5,1.0,1.0
-2.0,8.0,3.0,5,1.0,1.0
-1.0,8.0,3.0,5,1.0,1.0
-5.0,4.0,-3.0,6,1.0,1.0
-4.0,4.0,-3.0,6,1.0,1.0
-3.0,4.0,-3.0,6,1.0,1.0
-2.0,4.0,-3.0,6,1.0,0.9845
-1.0,4.0,-3.0,6,0.9865,0.242
-5.0,5.0,-3.0,6,1.0,1.0
-4.0,5.0,-3.0,6,1.0,1.0
-3.0,5.0,-3.0,6,1.0,1.0
-2.0,5.0,-3.0,6,1.0,0.974
-1.0,5.0,-3.0,6,0.973,0.1645
-5.0,6.0,-3.0,6,1.0,1.0
-4.0,6.0,-3.0,6,1.0,1.0
-3.0,6.0,-3.0,6,1.0,1.0
-2.0,6.0,-3.0,6,1.0,0.935
-1.0,6.0,-3.0,6,0.93,0.106
-5.0,7.0,-3.0,6,1.0,1.0
-4.0,7.0,-3.0,6,1.0,1.0
-3.0,7.0,-3.0,6,1.0,0.999
-2.0,7.0,-3.0,6,1.0,0.884
-1.0,7.0,-3.0,6,0.8985,0.0775
-5.0,8.0,-3.0,6,1.0,1.0
-4.0,8.0,-3.0,6,1.0,1.0
-3.0,8.0,-3.0,6,1.0,0.9995
-2.0,8.0,-3.0,6,0.9995,0.8275
-1.0,8.0,-3.0,6,0.845,0.0645
-5.0,4.0,-2.0,6,1.0,1.0
-4.0,4.0,-2.0,6,1.0,1.0
-3.0,4.0,-2.0,6,1.0,1.0
-2.0,4.0,-2.0,6,1.0,0.949
-1.0,4.0,-2.0,6,0.9525,0.095
-5.0,5.0,-2.0,6,1.0,1.0
-4.0,5.0,-2.0,6,1.0,1.0
-3.0,5.0,-2.0,6,1.0,1.0
-2.0,5.0,-2.0,6,1.0,0.878
-1.0,5.0,-2.0,6,0.894,0.057
-5.0,6.0,-2.0,6,1.0,1.0
-4.0,6.0,-2.0,6,1.0,1.0
-3.0,6.0,-2.0,6,1.0,0.9995
-2.0,6.0,-2.0,6,0.9995,0.7605
-1.0,6.0,-2.0,6,0.7575,0.0585
-5.0,7.0,-2.0,6,1.0,1.0
-4.0,7.0,-2.0,6,1.0,1.0
-3.0,7.0,-2.0,6,1.0,0.994
-2.0,7.0,-2.0,6,0.996,0.607
-1.0,7.0,-2.0,6,0.623,0.093
-5.0,8.0,-2.0,6,1.0,1.0
-4.0,8.0,-2.0,6,1.0,1.0
-3.0,8.0,-2.0,6,0.9995,0.986
-2.0,8.0,-2.0,6,0.9865,0.4605
-1.0,8.0,-2.0,6,0.466,0.151
-5.0,4.0,-1.0,6,1.0,1.0
-4.0,4.0,-1.0,6,1.0,1.0
-3.0,4.0,-1.0,6,1.0,0.9995
-2.0,4.0,-1.0,6,1.0,0.747
-1.0,4.0,-1.0,6,0.732,0.102
-5.0,5.0,-1.0,6,1.0,1.0
-4.0,5.0,-1.0,6,1.0,1.0
-3.0,5.0,-1.0,6,1.0,0.9955
-2.0,5.0,-1.0,6,0.997,0.3815
-1.0,5.0,-1.0,6,0.4045,0.2805
-5.0,6.0,-1.0,6,1.0,1.0
-4.0,6.0,-1.0,6,1.0,1.0
-3.0,6.0,-1.0,6,1.0,0.9545
-2.0,6.0,-1.0,6,0.9475,0.17
-1.0,6.0,-1.0,6,0.1505,0.5285
-5.0,7.0,-1.0,6,1.0,1.0
-4.0,7.0,-1.0,6,1.0,0.999
-3.0,7.0,-1.0,6,1.0,0.798
-2.0,7.0,-1.0,6,0.772,0.06
-1.0,7.0,-1.0,6,0.052,0.724
-5.0,8.0,-1.0,6,1.0,1.0
-4.0,8.0,-1.0,6,1.0,0.984
-3.0,8.0,-1.0,6,0.9855,0.537
-2.0,8.0,-1.0,6,0.5345,0.059
-1.0,8.0,-1.0,6,0.057,0.8525
-5.0,4.0,0.0,6,1.0,1.0
-4.0,4.0,0.0,6,1.0,1.0
-3.0,4.0,0.0,6,1.0,0.9105
-2.0,4.0,0.0,6,0.9155,0.0505
-1.0,4.0,0.0,6,0.041,0.9165
-5.0,5.0,0.0,6,1.0,1.0
-4.0,5.0,0.0,6,1.0,0.995
-3.0,5.0,0.0,6,0.9955,0.3415
-2.0,5.0,0.0,6,0.353,0.347
-1.0,5.0,0.0,6,0.328,0.995
-5.0,6.0,0.0,6,1.0,1.0
-4.0,6.0,0.0,6,1.0,0.811
-3.0,6.0,0.0,6,0.8145,0.041
-2.0,6.0,0.0,6,0.0535,0.8035
-1.0,6.0,0.0,6,0.8,1.0
-5.0,7.0,0.0,6,1.0,0.97
-4.0,7.0,0.0,6,0.9725,0.257
-3.0,7.0,0.0,6,0.2375,0.259
-2.0,7.0,0.0,6,0.254,0.972
-1.0,7.0,0.0,6,0.975,1.0
-5.0,8.0,0.0,6,0.9985,0.67
-4.0,8.0,0.0,6,0.684,0.0565
-3.0,8.0,0.0,6,0.0435,0.6615
-2.0,8.0,0.0,6,0.67,0.996
-1.0,8.0,0.0,6,0.9965,1.0
-5.0,4.0,1.0,6,1.0,1.0
-4.0,4.0,1.0,6,1.0,0.9845
-3.0,4.0,1.0,6,0.983,0.099
-2.0,4.0,1.0,6,0.0955,0.7415
-1.0,4.0,1.0,6,0.7305,1.0
-5.0,5.0,1.0,6,1.0,0.9965
-4.0,5.0,1.0,6,0.997,0.275
-3.0,5.0,1.0,6,0.2865,0.416
-2.0,5.0,1.0,6,0.4225,0.996
-1.0,5.0,1.0,6,0.995,1.0
-5.0,6.0,1.0,6,0.9995,0.5155
-4.0,6.0,1.0,6,0.5125,0.1625
-3.0,6.0,1.0,6,0.1625,0.961
-2.0,6.0,1.0,6,0.942,1.0
-1.0,6.0,1.0,6,1.0,1.0
-5.0,7.0,1.0,6,0.728,0.0575
-4.0,7.0,1.0,6,0.0645,0.799
-3.0,7.0,1.0,6,0.796,0.999
-2.0,7.0,1.0,6,1.0,1.0
-1.0,7.0,1.0,6,1.0,1.0
-5.0,8.0,1.0,6,0.059,0.543
-4.0,8.0,1.0,6,0.534,0.987
-3.0,8.0,1.0,6,0.9825,1.0
-2.0,8.0,1.0,6,1.0,1.0
-1.0,8.0,1.0,6,1.0,1.0
-5.0,4.0,2.0,6,1.0,1.0
-4.0,4.0,2.0,6,1.0,0.828
-3.0,4.0,2.0,6,0.8305,0.0825
-2.0,4.0,2.0,6,0.091,0.955
-1.0,4.0,2.0,6,0.958,1.0
-5.0,5.0,2.0,6,1.0,0.9005
-4.0,5.0,2.0,6,0.908,0.0585
-3.0,5.0,2.0,6,0.0555,0.8895
-2.0,5.0,2.0,6,0.8725,1.0
-1.0,5.0,2.0,6,1.0,1.0
-5.0,6.0,2.0,6,0.954,0.059
-4.0,6.0,2.0,6,0.0665,0.744
-3.0,6.0,2.0,6,0.773,0.9995
-2.0,6.0,2.0,6,0.999,1.0
-1.0,6.0,2.0,6,1.0,1.0
-5.0,7.0,2.0,6,0.092,0.619
-4.0,7.0,2.0,6,0.6245,0.9965
-3.0,7.0,2.0,6,0.996,1.0
-2.0,7.0,2.0,6,1.0,1.0
-1.0,7.0,2.0,6,1.0,1.0
-5.0,8.0,2.0,6,0.4595,0.989
-4.0,8.0,2.0,6,0.98,1.0
-3.0,8.0,2.0,6,1.0,1.0
-2.0,8.0,2.0,6,1.0,1.0
-1.0,8.0,2.0,6,1.0,1.0
-5.0,4.0,3.0,6,1.0,1.0
-4.0,4.0,3.0,6,0.9995,0.626
-3.0,4.0,3.0,6,0.608,0.235
-2.0,4.0,3.0,6,0.2405,0.9855
-1.0,4.0,3.0,6,0.986,1.0
-5.0,5.0,3.0,6,1.0,0.7135
-4.0,5.0,3.0,6,0.7045,0.1505
-3.0,5.0,3.0,6,0.1445,0.9635
-2.0,5.0,3.0,6,0.969,1.0
-1.0,5.0,3.0,6,1.0,1.0
-5.0,6.0,3.0,6,0.7805,0.0925
-4.0,6.0,3.0,6,0.096,0.939
-3.0,6.0,3.0,6,0.9355,1.0
-2.0,6.0,3.0,6,0.9995,1.0
-1.0,6.0,3.0,6,1.0,1.0
-5.0,7.0,3.0,6,0.069,0.9065
-4.0,7.0,3.0,6,0.902,1.0
-3.0,7.0,3.0,6,1.0,1.0
-2.0,7.0,3.0,6,1.0,1.0
-1.0,7.0,3.0,6,1.0,1.0
-5.0,8.0,3.0,6,0.851,0.999
-4.0,8.0,3.0,6,0.9995,1.0
-3.0,8.0,3.0,6,1.0,1.0
-2.0,8.0,3.0,6,1.0,1.0
-1.0,8.0,3.0,6,1.0,1.0
-5.0,4.0,-3.0,7,1.0,1.0
-4.0,4.0,-3.0,7,1.0,1.0
-3.0,4.0,-3.0,7,1.0,1.0
-2.0,4.0,-3.0,7,1.0,0.9885
-1.0,4.0,-3.0,7,0.989,0.2505
-5.0,5.0,-3.0,7,1.0,1.0
-4.0,5.0,-3.0,7,1.0,1.0
-3.0,5.0,-3.0,7,1.0,1.0
-2.0,5.0,-3.0,7,1.0,0.965
-1.0,5.0,-3.0,7,0.97,0.144
-5.0,6.0,-3.0,7,1.0,1.0
-4.0,6.0,-3.0,7,1.0,1.0
-3.0,6.0,-3.0,7,1.0,1.0
-2.0,6.0,-3.0,7,1.0,0.941
-1.0,6.0,-3.0,7,0.9375,0.1115
-5.0,7.0,-3.0,7,1.0,1.0
-4.0,7.0,-3.0,7,1.0,1.0
-3.0,7.0,-3.0,7,1.0,0.9995
-2.0,7.0,-3.0,7,0.9995,0.902
-1.0,7.0,-3.0,7,0.906,0.077
-5.0,8.0,-3.0,7,1.0,1.0
-4.0,8.0,-3.0,7,1.0,1.0
-3.0,8.0,-3.0,7,1.0,1.0
-2.0,8.0,-3.0,7,1.0,0.843
-1.0,8.0,-3.0,7,0.8445,0.057
-5.0,4.0,-2.0,7,1.0,1.0
-4.0,4.0,-2.0,7,1.0,1.0
-3.0,4.0,-2.0,7,1.0,1.0
-2.0,4.0,-2.0,7,1.0,0.951
-1.0,4.0,-2.0,7,0.957,0.088
-5.0,5.0,-2.0,7,1.0,1.0
-4.0,5.0,-2.0,7,1.0,1.0
-3.0,5.0,-2.0,7,1.0,1.0
-2.0,5.0,-2.0,7,1.0,0.89
-1.0,5.0,-2.0,7,0.8855,0.0505
-5.0,6.0,-2.0,7,1.0,1.0
-4.0,6.0,-2.0,7,1.0,1.0
-3.0,6.0,-2.0,7,1.0,0.999
-2.0,6.0,-2.0,7,0.999,0.7695
-1.0,6.0,-2.0,7,0.7655,0.0615
-5.0,7.0,-2.0,7,1.0,1.0
-4.0,7.0,-2.0,7,1.0,1.0
-3.0,7.0,-2.0,7,1.0,0.999
-2.0,7.0,-2.0,7,0.995,0.638
-1.0,7.0,-2.0,7,0.6235,0.086
-5.0,8.0,-2.0,7,1.0,1.0
-4.0,8.0,-2.0,7,1.0,1.0
-3.0,8.0,-2.0,7,1.0,0.983
