lbr_σ,rbr_σ,th_σ,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
0.0,0.0,0.0,4,0.7964,0.005694682431883274,0.049,0.0030528347482299137
0.2,0.0,0.0,4,0.7744,0.005911085179558827,0.0536,0.003185185708871619
0.4,0.0,0.0,4,0.7406,0.006198574674874862,0.0432,0.002875195993319412
0.6,0.0,0.0,4,0.6666,0.00666699992500375,0.049,0.0030528347482299137
0.8,0.0,0.0,4,0.603,0.006919407489084596,0.0486,0.0030409879973455995
1.0,0.0,0.0,4,0.5104,0.00706953803299763,0.0516,0.0031284961243383375
0.0,0.2,0.0,4,0.784,0.005819690713431427,0.0508,0.0031054584202658392
0.2,0.2,0.0,4,0.7758,0.00589803967433248,0.0538,0.0031907854832313627
0.4,0.2,0.0,4,0.7414,0.006192350765258699,0.054,0.003196372944448129
0.6,0.2,0.0,4,0.6664,0.0066679988002398445,0.0514,0.0031227564746550444
0.8,0.2,0.0,4,0.5972,0.006936168394726299,0.0494,0.003064625262572897
1.0,0.2,0.0,4,0.5274,0.007060442479051862,0.0566,0.003267917991627085
0.0,0.4,0.0,4,0.7666,0.005982047141238524,0.0462,0.002968688599365046
0.2,0.4,0.0,4,0.7502,0.006122090492634032,0.0466,0.002980887116279313
0.4,0.4,0.0,4,0.7174,0.006367687806417647,0.0506,0.0030996657884359083
0.6,0.4,0.0,4,0.662,0.006689633771739676,0.0468,0.0029869636757081596
0.8,0.4,0.0,4,0.5776,0.006985388178190243,0.0494,0.003064625262572897
1.0,0.4,0.0,4,0.5124,0.007068892982638795,0.0484,0.0030350433275325743
0.0,0.6,0.0,4,0.7384,0.0062155521074157205,0.0556,0.0032406369744233925
0.2,0.6,0.0,4,0.7146,0.006386655462759832,0.0434,0.0028815426424052795
0.4,0.6,0.0,4,0.6788,0.006603492409324024,0.0522,0.003145636978419474
0.6,0.6,0.0,4,0.6272,0.0068384232100682394,0.0548,0.003218600938296017
0.8,0.6,0.0,4,0.5642,0.0070125367735221185,0.0514,0.0031227564746550444
1.0,0.6,0.0,4,0.49,0.007069653456853455,0.052,0.003139936305086458
0.0,0.8,0.0,4,0.701,0.006474550177425456,0.0486,0.0030409879973455995
0.2,0.8,0.0,4,0.684,0.006574861215265308,0.0518,0.003134222710657301
