lbr_σ,rbr_σ,th_α,nIntervals,Power,TypeI
0.0,0.0,NaN,4,0.7086,0.09406666666666667
0.2,0.0,NaN,4,0.6598,0.14973333333333333
0.4,0.0,NaN,4,0.6030666666666666,0.2952666666666667
0.6,0.0,NaN,4,0.5746666666666667,0.4062
0.8,0.0,NaN,4,0.5877333333333333,0.4702
1.0,0.0,NaN,4,0.6137333333333334,0.5162
0.0,0.2,NaN,4,0.6867333333333333,0.10646666666666667
0.2,0.2,NaN,4,0.6582666666666667,0.16406666666666667
0.4,0.2,NaN,4,0.5998,0.3034
0.6,0.2,NaN,4,0.5766,0.41426666666666667
0.8,0.2,NaN,4,0.5944666666666667,0.4804
1.0,0.2,NaN,4,0.6092,0.5182
0.0,0.4,NaN,4,0.6596666666666666,0.1482
0.2,0.4,NaN,4,0.6388,0.21006666666666668
0.4,0.4,NaN,4,0.5943333333333334,0.3303333333333333
0.6,0.4,NaN,4,0.5932666666666667,0.43073333333333336
0.8,0.4,NaN,4,0.6002,0.4815333333333333
1.0,0.4,NaN,4,0.6175333333333334,0.5286666666666666
0.0,0.6,NaN,4,0.6374,0.21486666666666668
0.2,0.6,NaN,4,0.6232,0.26226666666666665
0.4,0.6,NaN,4,0.6008666666666667,0.3618
0.6,0.6,NaN,4,0.5970666666666666,0.4468666666666667
0.8,0.6,NaN,4,0.6094666666666667,0.5026
1.0,0.6,NaN,4,0.6198,0.5449333333333334
0.0,0.8,NaN,4,0.6124,0.28513333333333335
0.2,0.8,NaN,4,0.6072,0.3292
0.4,0.8,NaN,4,0.604,0.4003333333333333
0.6,0.8,NaN,4,0.6109333333333333,0.4746666666666667
0.8,0.8,NaN,4,0.6136666666666667,0.5254
1.0,0.8,NaN,4,0.638,0.5610666666666667
0.0,1.0,NaN,4,0.6226666666666667,0.3596666666666667
0.2,1.0,NaN,4,0.6178,0.3904666666666667
0.4,1.0,NaN,4,0.6123333333333333,0.455
0.6,1.0,NaN,4,0.6202,0.5067333333333334
0.8,1.0,NaN,4,0.6280666666666667,0.5534666666666667
1.0,1.0,NaN,4,0.6476,0.5708666666666666
0.0,0.0,0.5,4,0.020666666666666667,0.042333333333333334
0.2,0.0,0.5,4,0.029466666666666665,0.05386666666666667
0.4,0.0,0.5,4,0.056266666666666666,0.08546666666666666
0.6,0.0,0.5,4,0.1136,0.14166666666666666
0.8,0.0,0.5,4,0.18673333333333333,0.2052
1.0,0.0,0.5,4,0.2564666666666667,0.26826666666666665
0.0,0.2,0.5,4,0.026133333333333335,0.047266666666666665
0.2,0.2,0.5,4,0.0328,0.05506666666666667
0.4,0.2,0.5,4,0.0622,0.08626666666666667
0.6,0.2,0.5,4,0.11666666666666667,0.13413333333333333
0.8,0.2,0.5,4,0.1946,0.20533333333333334
1.0,0.2,0.5,4,0.2678,0.2752
0.0,0.4,0.5,4,0.037,0.04873333333333333
0.2,0.4,0.5,4,0.04973333333333333,0.0548
0.4,0.4,0.5,4,0.0858,0.0884
0.6,0.4,0.5,4,0.1396,0.1406
0.8,0.4,0.5,4,0.20513333333333333,0.2026
1.0,0.4,0.5,4,0.2769333333333333,0.2783333333333333
0.0,0.6,0.5,4,0.0682,0.04593333333333333
0.2,0.6,0.5,4,0.08393333333333333,0.059333333333333335
0.4,0.6,0.5,4,0.1106,0.08893333333333334
0.6,0.6,0.5,4,0.16273333333333334,0.14706666666666668
0.8,0.6,0.5,4,0.2286,0.2134
1.0,0.6,0.5,4,0.2902,0.2866
0.0,0.8,0.5,4,0.11793333333333333,0.059666666666666666
0.2,0.8,0.5,4,0.12693333333333334,0.0698
0.4,0.8,0.5,4,0.15466666666666667,0.10326666666666667
0.6,0.8,0.5,4,0.19693333333333332,0.16366666666666665
0.8,0.8,0.5,4,0.26213333333333333,0.23726666666666665
1.0,0.8,0.5,4,0.3212,0.30593333333333333
