lbr_σ,rbr_σ,th_α,nIntervals,Power,Power_SDE,TypeI,TypeI_SDE
-3.5,5.5,-0.5,4,1.0,0.0,0.979,0.002027757381937002
-3.4,5.5,-0.5,4,1.0,0.0,0.9646,0.00261330595223751
-3.3,5.5,-0.5,4,1.0,0.0,0.9366,0.0034461700480388374
-3.2,5.5,-0.5,4,1.0,0.0,0.9032,0.004181620738421886
-3.1,5.5,-0.5,4,0.9998,0.00019997999899988897,0.8424,0.005152906752503871
-3.0,5.5,-0.5,4,0.9996,0.0002827861382741226,0.7702,0.0059496547799011
-2.9,5.5,-0.5,4,0.999,0.0004469899327725404,0.6808,0.006592592206408645
-2.8,5.5,-0.5,4,0.998,0.0006318227599572528,0.5738,0.006993619377689924
-2.7,5.5,-0.5,4,0.995,0.0009974968671630005,0.4684,0.007056931911248684
-2.6,5.5,-0.5,4,0.991,0.0013355897573731246,0.3732,0.006839908771321442
-2.5,5.5,-0.5,4,0.98,0.001979898987322334,0.2696,0.00627560100707494
-3.5,5.6,-0.5,4,1.0,0.0,0.9688,0.002458721619053284
-3.4,5.6,-0.5,4,0.9998,0.00019997999899988897,0.9554,0.0029192752525241594
-3.3,5.6,-0.5,4,1.0,0.0,0.9162,0.003918610978395278
-3.2,5.6,-0.5,4,1.0,0.0,0.879,0.004612136164512058
-3.1,5.6,-0.5,4,0.9994,0.0003463062228721987,0.8214,0.005416678687166149
-3.0,5.6,-0.5,4,0.9994,0.0003463062228721987,0.73,0.006278534860936905
-2.9,5.6,-0.5,4,0.9986,0.000528779727296718,0.6404,0.006786572625412625
-2.8,5.6,-0.5,4,0.998,0.0006318227599572528,0.5284,0.007059652116074842
-2.7,5.6,-0.5,4,0.9922,0.0012441189653726872,0.437,0.007014713108887633
-2.6,5.6,-0.5,4,0.9876,0.0015650073482255582,0.3328,0.006663995198077501
-2.5,5.6,-0.5,4,0.9794,0.0020087628033194937,0.2248,0.005903642265584865
-3.5,5.7,-0.5,4,1.0,0.0,0.9626,0.002683327784673352
-3.4,5.7,-0.5,4,1.0,0.0,0.9376,0.003420708698500941
-3.3,5.7,-0.5,4,0.9998,0.00019997999899988897,0.9012,0.004219918482624991
-3.2,5.7,-0.5,4,0.9998,0.00019997999899988897,0.8448,0.005120799937509764
-3.1,5.7,-0.5,4,0.9994,0.0003463062228721987,0.7824,0.005835241897299545
-3.0,5.7,-0.5,4,0.9988,0.0004896039215529179,0.699,0.006486894480412025
-2.9,5.7,-0.5,4,0.997,0.0007734339015067807,0.5884,0.006959675854520812
-2.8,5.7,-0.5,4,0.9942,0.0010739050237334796,0.4992,0.007071058760892883
-2.7,5.7,-0.5,4,0.9894,0.0014482845024372838,0.3818,0.006870644220158689
-2.6,5.7,-0.5,4,0.9826,0.0018491749511606505,0.2972,0.006463314320068304
-2.5,5.7,-0.5,4,0.964,0.002634539808012019,0.209,0.005750113042367081
-3.5,5.8,-0.5,4,1.0,0.0,0.957,0.00286883251515316
-3.4,5.8,-0.5,4,1.0,0.0,0.9228,0.0037746565406669794
-3.3,5.8,-0.5,4,1.0,0.0,0.8822,0.004559016560619187
-3.2,5.8,-0.5,4,0.9992,0.0003998399679871993,0.822,0.005409547115979304
-3.1,5.8,-0.5,4,1.0,0.0,0.7424,0.006184532965390354
-3.0,5.8,-0.5,4,0.9976,0.0006919884392097831,0.6444,0.006769765727113458
-2.9,5.8,-0.5,4,0.9968,0.0007987189743583135,0.5694,0.00700262293715719
-2.8,5.8,-0.5,4,0.9938,0.0011100954913880142,0.4398,0.007019629050028214
-2.7,5.8,-0.5,4,0.9854,0.0016962806371588369,0.3462,0.006728232457339743
-2.6,5.8,-0.5,4,0.9704,0.0023968245659622216,0.252,0.006139967426623695
-2.5,5.8,-0.5,4,0.9536,0.0029747954551531774,0.18,0.00543323108288245
-3.5,5.9,-0.5,4,1.0,0.0,0.9466,0.0031795735563122296
-3.4,5.9,-0.5,4,1.0,0.0,0.9066,0.004115250660652399
-3.3,5.9,-0.5,4,0.9996,0.0002827861382741226,0.8496,0.005055291089541728
-3.2,5.9,-0.5,4,1.0,0.0,0.7898,0.005762221099541392
-3.1,5.9,-0.5,4,0.9984,0.0005652326954449903,0.7074,0.006434053776585956
-3.0,5.9,-0.5,4,0.998,0.0006318227599572528,0.6208,0.006861593983907821
-2.9,5.9,-0.5,4,0.9942,0.0010739050237334796,0.5072,0.007070334645545429
-2.8,5.9,-0.5,4,0.9878,0.0015524921899964577,0.3962,0.006917016119686291
-2.7,5.9,-0.5,4,0.9804,0.0019603999591919987,0.3168,0.006579327625221289
-2.6,5.9,-0.5,4,0.9608,0.0027445713690847982,0.2226,0.005883013513497993
-2.5,5.9,-0.5,4,0.933,0.003535845019228076,0.15,0.005049752469181039
-3.5,6.0,-0.5,4,1.0,0.0,0.9286,0.003641484312749405
-3.4,6.0,-0.5,4,0.9998,0.00019997999899988897,0.875,0.004677071733467427
-3.3,6.0,-0.5,4,0.9994,0.0003463062228721987,0.8292,0.005322167979310686
-3.2,6.0,-0.5,4,0.9992,0.0003998399679871993,0.745,0.006164008436074694
-3.1,6.0,-0.5,4,0.999,0.0004469899327725404,0.6642,0.006678897513811692
-3.0,6.0,-0.5,4,0.996,0.0008926365441768563,0.5608,0.007018594731140985
-2.9,6.0,-0.5,4,0.9924,0.00122818891055082,0.4658,0.007054507211705152
-2.8,6.0,-0.5,4,0.9862,0.0016498218085599446,0.3566,0.006774015648048061
